IDSA;Industrial Services of America, Inc.;2.08;$16.57M;n/a;Basic Industries;Miscellaneous;http://www.nasdaq.com/symbol/idsa;;;;0.525868879
TOPS;TOP Ships Inc.;0.8599;$17.89M;n/a;Transportation;Marine Transportation;http://www.nasdaq.com/symbol/tops;;;;0.798873738
TRIP;TripAdvisor, Inc.;78.35;$11.3B;n/a;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/trip;;;;0.566897646
VIAB;Viacom Inc.;48.4;$16.82B;n/a;Consumer Services;Television Services;http://www.nasdaq.com/symbol/viab;;;;0.92320605
LPSB;LaPorte Bancorp, Inc.;14.7999;$82.41M;n/a;Finance;Banks;http://www.nasdaq.com/symbol/lpsb;;;;0.253908945
RSTI;Rofin-Sinar Technologies, Inc.;29.68;$836.44M;1996;Miscellaneous;Industrial Machinery/Components;http://www.nasdaq.com/symbol/rsti;;;;0.23612081
VPCO;Vapor Corp.;0.32;$2.71M;n/a;Consumer Non-Durables;Tobacco;http://www.nasdaq.com/symbol/vpco;;;;0.447399877
JASO;JA Solar Holdings, Co., Ltd.;8.18;$412.77M;2007;Technology;Semiconductors;http://www.nasdaq.com/symbol/jaso;;;;0.803555632
ALKS;Alkermes plc;73.87;$11.08B;1991;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/alks;;;;0.470490866
HDRAR;Hydra Industries Acquisition Corp.;0.292;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/hdrar;;;;0.615216506
SKYW;SkyWest, Inc.;19.63;$996.27M;1986;Transportation;Air Freight/Delivery Services;http://www.nasdaq.com/symbol/skyw;;;;0.934356991
HTBK;Heritage Commerce Corp;10.93;$290.7M;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/htbk;;;;0.579957888
TLGT;Teligent, Inc.;7.76;$410.22M;n/a;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/tlgt;;;;0.986172736
BVXV;BiondVax Pharmaceuticals Ltd.;4;$13.51M;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/bvxv;;;;0.297368092
GFED;Guaranty Federal Bancshares, Inc.;14.7001;$64.39M;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/gfed;;;;0.569146239
ADAP;Adaptimmune Therapeutics plc;11.33;$802M;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/adap;;;;0.946547237
CYRX;CryoPort, Inc.;2.5;$17.89M;n/a;Capital Goods;Containers/Packaging;http://www.nasdaq.com/symbol/cyrx;;;;0.382832129
ESMC;Escalon Medical Corp.;1.03;$7.75M;n/a;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus;http://www.nasdaq.com/symbol/esmc;;;;0.302643514
TOWN;Towne Bank;22.18;$1.14B;n/a;n/a;n/a;http://www.nasdaq.com/symbol/town;;;;0.387418308
DRWIW;DragonWave Inc;0.018;$143347.5;n/a;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/drwiw;;;;0.243346341
ACWI;iShares MSCI ACWI Index Fund;57.8;$6.28B;n/a;n/a;n/a;http://www.nasdaq.com/symbol/acwi;;;;0.966901067
ACXM;Acxiom Corporation;22.29;$1.74B;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/acxm;;;;0.90086627
LBTYA;Liberty Global plc;46.01;$39.58B;n/a;Consumer Services;Television Services;http://www.nasdaq.com/symbol/lbtya;;;;0.0537207
BWINB;Baldwin & Lyons, Inc.;23.29;$349.93M;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/bwinb;;;;0.700600246
ACST;Acasti Pharma, Inc.;2.64;$28.15M;n/a;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/acst;;;;0.799825859
CNLMR;CB Pharma Acquisition Corp.;0.32;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/cnlmr;;;;0.786705139
CNYD;China Yida Holding, Co.;2.86;$11.2M;n/a;Consumer Services;Advertising;http://www.nasdaq.com/symbol/cnyd;;;;0.098819797
PAACW;Pacific Special Acquisition Corp.;0.08;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/paacw;;;;0.51033973
MDGS;Medigus Ltd.;3.47;$17.35M;n/a;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/mdgs;;;;0.314968999
FWM;Fairway Group Holdings Corp.;1.26;$55.56M;2013;Consumer Services;Food Chains;http://www.nasdaq.com/symbol/fwm;;;;0.984993763
MFNC;Mackinac Financial Corporation;11.35;$70.82M;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/mfnc;;;;0.480489312
OSIR;Osiris Therapeutics, Inc.;14.35;$494.21M;2006;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/osir;;;;0.377533838
HTHT;China Lodging Group, Limited;29.18;$1.83B;2010;Consumer Services;Hotels/Resorts;http://www.nasdaq.com/symbol/htht;;;;0.147791575
POOL;Pool Corporation;81.57;$3.47B;1995;Consumer Durables;Industrial Specialties;http://www.nasdaq.com/symbol/pool;;;;0.712751236
HMTV;Hemisphere Media Group, Inc.;14.42;$657.77M;n/a;Consumer Services;Television Services;http://www.nasdaq.com/symbol/hmtv;;;;0.061020778
SGBK;Stonegate Bank;33.44;$422.52M;n/a;n/a;n/a;http://www.nasdaq.com/symbol/sgbk;;;;0.498138733
DTUS;US Trsy 2-Year Bear ETN Ipath;31.91;$11.93M;n/a;Finance;Commercial Banks;http://www.nasdaq.com/symbol/dtus;;;;0.999832481
REXX;Rex Energy Corporation;2.32;$127.55M;2007;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/rexx;;;;0.654019969
NATH;Nathan&#39;;;;;;;;;;0.13886207
MOBL;MobileIron, Inc.;4.24;$340.5M;2014;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/mobl;;;;0.571848341
GNCA;Genocea Biosciences, Inc.;5.98;$167.8M;2014;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/gnca;;;;0.498387201
